item	FoldChange	PV_Wilcoxon	PV_Bonferroni	log2(FC)	-log10(PV)
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	9.625e-01	5.712e-01	1.000e+00	-5.518e-02	-0.000e+00
KEGG_BLADDER_CANCER	1.056e+00	2.266e-02	1.000e+00	7.869e-02	-0.000e+00
KEGG_BUTANOATE_METABOLISM	9.323e-01	2.350e-01	1.000e+00	-1.011e-01	-0.000e+00
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	9.990e-01	7.085e-01	1.000e+00	-1.515e-03	-0.000e+00
KEGG_CALCIUM_SIGNALING_PATHWAY	1.036e+00	4.873e-02	1.000e+00	5.101e-02	-0.000e+00
KEGG_CARDIAC_MUSCLE_CONTRACTION	1.429e+00	6.175e-11	1.161e-08	5.149e-01	7.935e+00
KEGG_CELL_ADHESION_MOLECULES_CAMS	1.200e+00	1.204e-13	2.264e-11	2.628e-01	1.065e+01
KEGG_CELL_CYCLE	9.417e-01	1.215e-03	2.283e-01	-8.666e-02	6.414e-01
KEGG_CHEMOKINE_SIGNALING_PATHWAY	1.052e+00	1.438e-04	2.703e-02	7.283e-02	1.568e+00
KEGG_CHRONIC_MYELOID_LEUKEMIA	1.015e+00	5.254e-01	1.000e+00	2.081e-02	-0.000e+00
KEGG_CIRCADIAN_RHYTHM_MAMMAL	8.468e-01	2.031e-02	1.000e+00	-2.399e-01	-0.000e+00
KEGG_CITRATE_CYCLE_TCA_CYCLE	1.017e+00	6.660e-01	1.000e+00	2.397e-02	-0.000e+00
KEGG_COLORECTAL_CANCER	1.018e+00	4.238e-01	1.000e+00	2.627e-02	-0.000e+00
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	1.416e+00	7.925e-14	1.490e-11	5.013e-01	1.083e+01
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	9.945e-01	8.517e-01	1.000e+00	-7.928e-03	-0.000e+00
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	1.084e+00	8.793e-06	1.653e-03	1.167e-01	2.782e+00
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	1.105e+00	5.685e-03	1.000e+00	1.446e-01	-0.000e+00
KEGG_DILATED_CARDIOMYOPATHY	1.061e+00	3.795e-03	7.136e-01	8.608e-02	1.466e-01
KEGG_DNA_REPLICATION	8.285e-01	1.142e-06	2.146e-04	-2.714e-01	3.668e+00
KEGG_DORSO_VENTRAL_AXIS_FORMATION	9.759e-01	5.806e-01	1.000e+00	-3.517e-02	-0.000e+00
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	9.658e-01	5.881e-01	1.000e+00	-5.017e-02	-0.000e+00
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	1.152e+00	2.633e-03	4.950e-01	2.037e-01	3.054e-01
KEGG_ECM_RECEPTOR_INTERACTION	1.175e+00	3.005e-06	5.649e-04	2.325e-01	3.248e+00
KEGG_ENDOCYTOSIS	1.071e+00	9.141e-06	1.718e-03	9.853e-02	2.765e+00
KEGG_ENDOMETRIAL_CANCER	9.693e-01	1.771e-01	1.000e+00	-4.496e-02	-0.000e+00
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	1.083e+00	2.302e-05	4.328e-03	1.150e-01	2.364e+00
KEGG_ERBB_SIGNALING_PATHWAY	1.013e+00	7.457e-01	1.000e+00	1.872e-02	-0.000e+00
KEGG_ETHER_LIPID_METABOLISM	9.940e-01	9.233e-01	1.000e+00	-8.749e-03	-0.000e+00
KEGG_FATTY_ACID_METABOLISM	1.007e+00	9.386e-01	1.000e+00	1.071e-02	-0.000e+00
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	9.944e-01	8.324e-01	1.000e+00	-8.091e-03	-0.000e+00
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	1.025e+00	1.305e-01	1.000e+00	3.565e-02	-0.000e+00
KEGG_FOCAL_ADHESION	1.064e+00	5.328e-05	1.002e-02	8.892e-02	1.999e+00
KEGG_FOLATE_BIOSYNTHESIS	8.341e-01	4.803e-02	1.000e+00	-2.618e-01	-0.000e+00
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	8.655e-01	9.369e-05	1.761e-02	-2.083e-01	1.754e+00
KEGG_GALACTOSE_METABOLISM	1.031e+00	3.880e-01	1.000e+00	4.447e-02	-0.000e+00
KEGG_GAP_JUNCTION	9.704e-01	1.926e-01	1.000e+00	-4.338e-02	-0.000e+00
KEGG_GLIOMA	9.950e-01	7.897e-01	1.000e+00	-7.244e-03	-0.000e+00
KEGG_GLUTATHIONE_METABOLISM	9.908e-01	5.957e-01	1.000e+00	-1.330e-02	-0.000e+00
KEGG_GLYCEROLIPID_METABOLISM	9.253e-01	4.219e-02	1.000e+00	-1.120e-01	-0.000e+00
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	9.507e-01	1.898e-01	1.000e+00	-7.297e-02	-0.000e+00
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	7.638e-01	7.361e-05	1.384e-02	-3.888e-01	1.859e+00
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	9.404e-01	1.694e-03	3.184e-01	-8.870e-02	4.970e-01
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	1.031e+00	5.900e-01	1.000e+00	4.445e-02	-0.000e+00
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	1.130e+00	1.042e-01	1.000e+00	1.764e-01	-0.000e+00
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	1.048e+00	4.221e-01	1.000e+00	6.814e-02	-0.000e+00
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	1.186e+00	7.960e-04	1.496e-01	2.465e-01	8.249e-01
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	1.031e+00	5.508e-01	1.000e+00	4.440e-02	-0.000e+00
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	9.741e-01	7.126e-01	1.000e+00	-3.790e-02	-0.000e+00
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	9.872e-01	7.498e-01	1.000e+00	-1.863e-02	-0.000e+00
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	9.709e-01	6.481e-01	1.000e+00	-4.265e-02	-0.000e+00
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	9.834e-01	4.971e-01	1.000e+00	-2.412e-02	-0.000e+00
KEGG_GNRH_SIGNALING_PATHWAY	1.001e+00	8.110e-01	1.000e+00	9.250e-04	-0.000e+00
KEGG_GRAFT_VERSUS_HOST_DISEASE	1.304e+00	2.090e-15	3.929e-13	3.829e-01	1.241e+01
KEGG_HEDGEHOG_SIGNALING_PATHWAY	9.903e-01	9.168e-01	1.000e+00	-1.405e-02	-0.000e+00
KEGG_HEMATOPOIETIC_CELL_LINEAGE	1.148e+00	1.771e-10	3.329e-08	1.985e-01	7.478e+00
KEGG_HISTIDINE_METABOLISM	9.021e-01	9.568e-02	1.000e+00	-1.486e-01	-0.000e+00
KEGG_HOMOLOGOUS_RECOMBINATION	8.846e-01	1.893e-03	3.558e-01	-1.769e-01	4.488e-01
KEGG_HUNTINGTONS_DISEASE	1.184e+00	5.335e-07	1.003e-04	2.442e-01	3.999e+00
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	1.065e+00	1.032e-02	1.000e+00	9.035e-02	-0.000e+00
KEGG_INOSITOL_PHOSPHATE_METABOLISM	9.473e-01	5.295e-02	1.000e+00	-7.817e-02	-0.000e+00
KEGG_INSULIN_SIGNALING_PATHWAY	9.966e-01	7.126e-01	1.000e+00	-4.890e-03	-0.000e+00
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	1.223e+00	5.019e-12	9.436e-10	2.900e-01	9.025e+00
KEGG_JAK_STAT_SIGNALING_PATHWAY	1.041e+00	3.159e-02	1.000e+00	5.861e-02	-0.000e+00
KEGG_LEISHMANIA_INFECTION	1.198e+00	1.451e-13	2.728e-11	2.601e-01	1.056e+01
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	1.061e+00	4.862e-04	9.140e-02	8.504e-02	1.039e+00
KEGG_LIMONENE_AND_PINENE_DEGRADATION	9.077e-01	1.641e-01	1.000e+00	-1.397e-01	-0.000e+00
KEGG_LINOLEIC_ACID_METABOLISM	1.119e+00	2.571e-01	1.000e+00	1.623e-01	-0.000e+00
KEGG_LONG_TERM_DEPRESSION	1.017e+00	3.143e-01	1.000e+00	2.473e-02	-0.000e+00
KEGG_LONG_TERM_POTENTIATION	1.023e+00	3.820e-01	1.000e+00	3.224e-02	-0.000e+00
KEGG_LYSINE_DEGRADATION	9.190e-01	5.642e-02	1.000e+00	-1.218e-01	-0.000e+00
KEGG_LYSOSOME	1.165e+00	6.044e-14	1.136e-11	2.199e-01	1.094e+01
KEGG_MAPK_SIGNALING_PATHWAY	1.012e+00	4.254e-01	1.000e+00	1.660e-02	-0.000e+00
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	1.308e+00	9.184e-02	1.000e+00	3.876e-01	-0.000e+00
KEGG_MELANOGENESIS	9.815e-01	3.514e-01	1.000e+00	-2.687e-02	-0.000e+00
KEGG_MELANOMA	9.738e-01	5.768e-01	1.000e+00	-3.829e-02	-0.000e+00
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	1.023e+00	4.398e-01	1.000e+00	3.335e-02	-0.000e+00
KEGG_MISMATCH_REPAIR	8.274e-01	3.730e-05	7.013e-03	-2.733e-01	2.154e+00
KEGG_MTOR_SIGNALING_PATHWAY	1.012e+00	6.680e-01	1.000e+00	1.734e-02	-0.000e+00
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	1.118e+00	1.063e-09	1.998e-07	1.615e-01	6.699e+00
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	1.129e+00	1.135e-03	2.134e-01	1.753e-01	6.709e-01
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	1.007e+00	5.290e-01	1.000e+00	1.014e-02	-0.000e+00
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	9.990e-01	8.863e-01	1.000e+00	-1.508e-03	-0.000e+00
KEGG_NITROGEN_METABOLISM	1.018e+00	8.798e-01	1.000e+00	2.603e-02	-0.000e+00
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	1.043e+00	1.327e-01	1.000e+00	6.075e-02	-0.000e+00
KEGG_NON_HOMOLOGOUS_END_JOINING	9.037e-01	4.082e-02	1.000e+00	-1.461e-01	-0.000e+00
KEGG_NON_SMALL_CELL_LUNG_CANCER	9.535e-01	3.795e-02	1.000e+00	-6.875e-02	-0.000e+00
KEGG_NOTCH_SIGNALING_PATHWAY	1.048e+00	6.120e-02	1.000e+00	6.823e-02	-0.000e+00
KEGG_NUCLEOTIDE_EXCISION_REPAIR	8.540e-01	3.766e-06	7.080e-04	-2.277e-01	3.150e+00
KEGG_N_GLYCAN_BIOSYNTHESIS	9.636e-01	2.837e-01	1.000e+00	-5.354e-02	-0.000e+00
KEGG_OLFACTORY_TRANSDUCTION	1.092e+00	3.310e-02	1.000e+00	1.269e-01	-0.000e+00
KEGG_ONE_CARBON_POOL_BY_FOLATE	9.650e-01	2.861e-01	1.000e+00	-5.133e-02	-0.000e+00
KEGG_OOCYTE_MEIOSIS	9.744e-01	1.529e-01	1.000e+00	-3.744e-02	-0.000e+00
KEGG_OTHER_GLYCAN_DEGRADATION	1.076e+00	1.019e-01	1.000e+00	1.050e-01	-0.000e+00
KEGG_OXIDATIVE_PHOSPHORYLATION	1.345e+00	1.069e-10	2.009e-08	4.274e-01	7.697e+00
KEGG_O_GLYCAN_BIOSYNTHESIS	1.074e+00	3.026e-01	1.000e+00	1.029e-01	-0.000e+00
KEGG_P53_SIGNALING_PATHWAY	9.421e-01	2.284e-02	1.000e+00	-8.606e-02	-0.000e+00
KEGG_PANCREATIC_CANCER	9.943e-01	6.383e-01	1.000e+00	-8.192e-03	-0.000e+00
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	8.904e-01	6.232e-02	1.000e+00	-1.674e-01	-0.000e+00
KEGG_PARKINSONS_DISEASE	1.346e+00	7.269e-10	1.367e-07	4.285e-01	6.864e+00
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	1.010e+00	6.661e-01	1.000e+00	1.398e-02	-0.000e+00
KEGG_PATHWAYS_IN_CANCER	9.877e-01	3.157e-01	1.000e+00	-1.785e-02	-0.000e+00
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	9.543e-01	4.971e-01	1.000e+00	-6.754e-02	-0.000e+00
KEGG_PENTOSE_PHOSPHATE_PATHWAY	9.802e-01	5.938e-01	1.000e+00	-2.887e-02	-0.000e+00
KEGG_PEROXISOME	9.325e-01	2.079e-02	1.000e+00	-1.008e-01	-0.000e+00
KEGG_PHENYLALANINE_METABOLISM	9.583e-01	4.349e-01	1.000e+00	-6.140e-02	-0.000e+00
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	9.684e-01	3.305e-01	1.000e+00	-4.626e-02	-0.000e+00
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	1.112e+00	3.631e-03	6.827e-01	1.536e-01	1.658e-01
KEGG_PPAR_SIGNALING_PATHWAY	1.050e+00	1.008e-01	1.000e+00	7.069e-02	-0.000e+00
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	8.232e-01	4.675e-02	1.000e+00	-2.807e-01	-0.000e+00
KEGG_PRIMARY_IMMUNODEFICIENCY	1.033e+00	1.414e-01	1.000e+00	4.617e-02	-0.000e+00
KEGG_PRION_DISEASES	1.419e+00	1.745e-15	3.281e-13	5.051e-01	1.248e+01
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	9.885e-01	2.874e-01	1.000e+00	-1.675e-02	-0.000e+00
KEGG_PROPANOATE_METABOLISM	9.953e-01	7.519e-01	1.000e+00	-6.809e-03	-0.000e+00
KEGG_PROSTATE_CANCER	9.448e-01	2.059e-03	3.871e-01	-8.196e-02	4.121e-01
KEGG_PROTEASOME	9.505e-01	2.781e-03	5.229e-01	-7.324e-02	2.816e-01
KEGG_PROTEIN_EXPORT	9.509e-01	9.519e-02	1.000e+00	-7.266e-02	-0.000e+00
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	9.776e-01	7.023e-01	1.000e+00	-3.264e-02	-0.000e+00
KEGG_PURINE_METABOLISM	9.493e-01	4.636e-03	8.715e-01	-7.504e-02	5.973e-02
KEGG_PYRIMIDINE_METABOLISM	9.282e-01	1.502e-04	2.824e-02	-1.074e-01	1.549e+00
KEGG_PYRUVATE_METABOLISM	9.200e-01	3.632e-03	6.829e-01	-1.203e-01	1.657e-01
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	1.043e+00	1.203e-03	2.262e-01	6.083e-02	6.455e-01
KEGG_REGULATION_OF_AUTOPHAGY	9.993e-01	7.686e-01	1.000e+00	-1.023e-03	-0.000e+00
KEGG_RENAL_CELL_CARCINOMA	9.782e-01	5.200e-01	1.000e+00	-3.176e-02	-0.000e+00
KEGG_RENIN_ANGIOTENSIN_SYSTEM	1.122e+00	1.405e-01	1.000e+00	1.657e-01	-0.000e+00
KEGG_RETINOL_METABOLISM	1.072e+00	3.485e-01	1.000e+00	1.002e-01	-0.000e+00
KEGG_RIBOFLAVIN_METABOLISM	1.040e+00	4.095e-01	1.000e+00	5.650e-02	-0.000e+00
KEGG_RIBOSOME	1.142e+00	1.894e-04	3.560e-02	1.913e-01	1.449e+00
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	9.968e-01	8.625e-01	1.000e+00	-4.595e-03	-0.000e+00
KEGG_RNA_DEGRADATION	9.407e-01	3.126e-03	5.877e-01	-8.826e-02	2.308e-01
KEGG_RNA_POLYMERASE	9.721e-01	4.158e-01	1.000e+00	-4.088e-02	-0.000e+00
KEGG_SELENOAMINO_ACID_METABOLISM	9.799e-01	5.399e-01	1.000e+00	-2.937e-02	-0.000e+00
KEGG_SMALL_CELL_LUNG_CANCER	9.962e-01	1.000e+00	1.000e+00	-5.487e-03	-0.000e+00
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	9.892e-01	4.971e-01	1.000e+00	-1.570e-02	-0.000e+00
KEGG_SPHINGOLIPID_METABOLISM	9.848e-01	5.862e-01	1.000e+00	-2.207e-02	-0.000e+00
KEGG_SPLICEOSOME	9.704e-01	7.577e-02	1.000e+00	-4.333e-02	-0.000e+00
KEGG_STARCH_AND_SUCROSE_METABOLISM	1.054e+00	3.926e-01	1.000e+00	7.622e-02	-0.000e+00
KEGG_STEROID_BIOSYNTHESIS	1.206e+00	2.403e-03	4.518e-01	2.699e-01	3.451e-01
KEGG_STEROID_HORMONE_BIOSYNTHESIS	1.165e+00	1.752e-01	1.000e+00	2.200e-01	-0.000e+00
KEGG_SULFUR_METABOLISM	1.038e+00	5.841e-01	1.000e+00	5.377e-02	-0.000e+00
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	1.365e+00	1.295e-16	2.435e-14	4.489e-01	1.361e+01
KEGG_TASTE_TRANSDUCTION	9.540e-01	2.285e-01	1.000e+00	-6.801e-02	-0.000e+00
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	1.233e+00	1.839e-01	1.000e+00	3.027e-01	-0.000e+00
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	1.000e+00	9.759e-01	1.000e+00	3.514e-04	-0.000e+00
KEGG_TGF_BETA_SIGNALING_PATHWAY	1.016e+00	6.169e-01	1.000e+00	2.284e-02	-0.000e+00
KEGG_THYROID_CANCER	1.028e+00	3.090e-01	1.000e+00	3.983e-02	-0.000e+00
KEGG_TIGHT_JUNCTION	1.032e+00	1.678e-02	1.000e+00	4.499e-02	-0.000e+00
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	1.075e+00	2.022e-03	3.801e-01	1.048e-01	4.201e-01
KEGG_TRYPTOPHAN_METABOLISM	9.537e-01	3.429e-01	1.000e+00	-6.838e-02	-0.000e+00
KEGG_TYPE_II_DIABETES_MELLITUS	9.392e-01	4.565e-02	1.000e+00	-9.046e-02	-0.000e+00
KEGG_TYPE_I_DIABETES_MELLITUS	1.274e+00	5.745e-15	1.080e-12	3.495e-01	1.197e+01
KEGG_TYROSINE_METABOLISM	9.728e-01	4.613e-01	1.000e+00	-3.982e-02	-0.000e+00
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	9.629e-01	2.579e-02	1.000e+00	-5.451e-02	-0.000e+00
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	9.527e-01	1.238e-03	2.328e-01	-6.996e-02	6.330e-01
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	8.848e-01	1.435e-01	1.000e+00	-1.766e-01	-0.000e+00
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	9.623e-01	3.052e-01	1.000e+00	-5.542e-02	-0.000e+00
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	1.027e+00	1.676e-01	1.000e+00	3.870e-02	-0.000e+00
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	1.041e+00	6.671e-02	1.000e+00	5.750e-02	-0.000e+00
KEGG_VEGF_SIGNALING_PATHWAY	1.041e+00	8.233e-02	1.000e+00	5.775e-02	-0.000e+00
KEGG_VIBRIO_CHOLERAE_INFECTION	1.026e+00	8.380e-02	1.000e+00	3.697e-02	-0.000e+00
KEGG_VIRAL_MYOCARDITIS	1.177e+00	3.028e-12	5.693e-10	2.354e-01	9.245e+00
KEGG_WNT_SIGNALING_PATHWAY	1.004e+00	3.850e-01	1.000e+00	6.057e-03	-0.000e+00
percent.mito	4.137e+00	1.618e-17	3.042e-15	2.049e+00	1.452e+01
Grp	1.000e+00	1.000e+00	1.000e+00	0.000e+00	-0.000e+00
